epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,151.295,0.48973,0.53663,0.98091,0.88139,0.55315,0.72367,0.48319,1.54411,1.67862,1.35044,2.89884e-05,2.89884e-05,2.89884e-05
62,153.659,0.50946,0.64488,1.03399,0.88139,0.55315,0.72367,0.48319,1.54411,1.67862,1.35044,2.87529e-05,2.87529e-05,2.87529e-05
63,156.104,1.11611,0.97667,1.70723,0.88427,0.55296,0.72569,0.48049,1.53031,1.67709,1.32937,2.84938e-05,2.84938e-05,2.84938e-05
64,158.463,0.58722,0.55232,1.03247,0.88427,0.55296,0.72569,0.48049,1.53031,1.67709,1.32937,2.82112e-05,2.82112e-05,2.82112e-05
65,160.784,0.58386,0.43857,1.01532,0.88427,0.55296,0.72569,0.48049,1.53031,1.67709,1.32937,2.7905e-05,2.7905e-05,2.7905e-05
66,163.255,0.49555,0.39832,1.05128,0.89279,0.5505,0.74694,0.48475,1.54266,1.7423,1.33402,2.75753e-05,2.75753e-05,2.75753e-05
67,165.831,0.50651,0.41715,0.93561,0.89279,0.5505,0.74694,0.48475,1.54266,1.7423,1.33402,2.7222e-05,2.7222e-05,2.7222e-05
68,168.218,0.70373,0.65981,1.11839,0.89279,0.5505,0.74694,0.48475,1.54266,1.7423,1.33402,2.68451e-05,2.68451e-05,2.68451e-05
69,170.654,0.56491,0.46697,1.0574,0.88868,0.54629,0.74784,0.47118,1.55611,1.78312,1.34721,2.64447e-05,2.64447e-05,2.64447e-05
70,173.101,0.73274,0.84811,1.19837,0.88868,0.54629,0.74784,0.47118,1.55611,1.78312,1.34721,2.60207e-05,2.60207e-05,2.60207e-05
71,175.836,0.4587,0.44974,0.9367,0.88868,0.54629,0.74784,0.47118,1.55611,1.78312,1.34721,2.55731e-05,2.55731e-05,2.55731e-05
72,178.524,0.49761,0.38237,0.90519,0.90085,0.53528,0.74488,0.48511,1.56996,1.86371,1.35214,2.5102e-05,2.5102e-05,2.5102e-05
73,181.093,0.5136,0.62787,1.00658,0.90085,0.53528,0.74488,0.48511,1.56996,1.86371,1.35214,2.46073e-05,2.46073e-05,2.46073e-05
74,183.748,0.61366,0.47155,1.06936,0.90085,0.53528,0.74488,0.48511,1.56996,1.86371,1.35214,2.40891e-05,2.40891e-05,2.40891e-05
75,186.229,0.74697,0.6417,1.2618,0.91339,0.53238,0.74256,0.46419,1.56643,1.90171,1.35893,2.35472e-05,2.35472e-05,2.35472e-05
76,188.638,0.49584,0.37843,0.98995,0.91339,0.53238,0.74256,0.46419,1.56643,1.90171,1.35893,2.29819e-05,2.29819e-05,2.29819e-05
77,191.21,0.51871,0.4083,1.04633,0.91339,0.53238,0.74256,0.46419,1.56643,1.90171,1.35893,2.23929e-05,2.23929e-05,2.23929e-05
78,193.859,0.72759,0.77423,1.12554,0.91857,0.53206,0.74502,0.46541,1.60477,1.96125,1.38198,2.17805e-05,2.17805e-05,2.17805e-05
79,196.371,0.49879,0.53849,0.97565,0.91857,0.53206,0.74502,0.46541,1.60477,1.96125,1.38198,2.11444e-05,2.11444e-05,2.11444e-05
80,198.851,0.58571,0.44794,0.963,0.91857,0.53206,0.74502,0.46541,1.60477,1.96125,1.38198,2.04848e-05,2.04848e-05,2.04848e-05
81,201.385,0.50004,0.53782,1.09591,0.91124,0.53189,0.73957,0.46213,1.55425,1.98947,1.36618,1.98016e-05,1.98016e-05,1.98016e-05
82,203.988,0.44006,0.33808,0.95984,0.91124,0.53189,0.73957,0.46213,1.55425,1.98947,1.36618,1.90949e-05,1.90949e-05,1.90949e-05
83,206.491,0.57947,0.49558,1.07976,0.91124,0.53189,0.73957,0.46213,1.55425,1.98947,1.36618,1.83646e-05,1.83646e-05,1.83646e-05
84,209.075,0.3887,0.2902,0.92464,0.86676,0.55283,0.74273,0.46321,1.56217,2.03581,1.3689,1.76107e-05,1.76107e-05,1.76107e-05
85,212.005,0.47738,0.48387,0.98078,0.86676,0.55283,0.74273,0.46321,1.56217,2.03581,1.3689,1.68333e-05,1.68333e-05,1.68333e-05
86,214.457,0.67153,0.56536,1.26507,0.86676,0.55283,0.74273,0.46321,1.56217,2.03581,1.3689,1.60323e-05,1.60323e-05,1.60323e-05
87,216.93,0.65729,0.6028,1.12535,0.86676,0.55283,0.74273,0.46321,1.56217,2.03581,1.3689,1.52077e-05,1.52077e-05,1.52077e-05
